MAG,indicator,season,exchange,phylum,type
S.YL4.MP.2.semibin.fa,N,1.feb,NA,p__Bacteroidota,onlyMP
A.TR12I.MP.6.semibin.fa,N,2.may,NA,p__Bacteroidota,onlyMP
A.TR12I.W.6.semibin.fa,N,2.may,NA,p__Bacteroidota,onlyMP
M.TC2.MP.5.fa,N,2.may,NA,p__Bacteroidota,onlyMP
M.W.TR17L.5.fa,N,2.may,NA,p__Bacteroidota,onlyMP
M.YL4.MP.20.fa,N,2.may,NA,p__Bacteroidota,onlyMP
S.KN5.MP.11.semibin.fa,N,2.may,NA,p__Bacteroidota,onlyMP
S.YL4.MP.2.semibin.fa,Y,2.may,NA,p__Bacteroidota,onlyMP
A.TR12I.MP.6.semibin.fa,Y,3.nov,NA,p__Bacteroidota,onlyMP
A.TR12I.W.6.semibin.fa,N,3.nov,NA,p__Bacteroidota,onlyMP
M.TC2.MP.5.fa,N,3.nov,NA,p__Bacteroidota,onlyMP
M.W.TR17L.5.fa,N,3.nov,NA,p__Bacteroidota,onlyMP
M.YL4.MP.20.fa,N,3.nov,5,p__Bacteroidota,onlyMP
S.KN5.MP.11.semibin.fa,N,3.nov,NA,p__Bacteroidota,onlyMP
S.YL4.MP.2.semibin.fa,N,3.nov,NA,p__Bacteroidota,onlyMP
A.TR12I.MP.6.semibin.fa,N,4.aug,NA,p__Bacteroidota,onlyMP
A.TR12I.W.6.semibin.fa,N,4.aug,5,p__Bacteroidota,onlyMP
M.TC2.MP.5.fa,N,4.aug,NA,p__Bacteroidota,onlyMP
M.W.TR17L.5.fa,N,4.aug,5,p__Bacteroidota,onlyMP
M.YL4.MP.20.fa,N,4.aug,NA,p__Bacteroidota,onlyMP
S.KN5.MP.11.semibin.fa,N,4.aug,5,p__Bacteroidota,onlyMP
S.YL4.MP.2.semibin.fa,N,4.aug,5,p__Bacteroidota,onlyMP
